City Name,Zone Name,Ward Name,Ward No.,Length of Roads (in km),Length of Tar Roads (in km),Length of Concrete Roads (in km),Length of Roads with footpaths on both sides (in km),Length of Roads with footpaths on one side (in km),Population
Namchi ,NA,Gangyap,1,3.31,3.31,NA,NA,0.61,0.4
Namchi ,NA,Dambudara,2,6.67,6.67,NA,NA,1.22,
Namchi ,NA,Upper Ghurpisey,3,7.89,7.89,NA,NA,1.45,
Namchi ,NA,Lower Ghurpisey,4,4.75,4.75,NA,NA,0.87,
Namchi ,NA,Upper Boomtar,5,4.93,4.93,NA,NA,0.9,
Namchi ,NA,Upper Singithang,6,2.84,2.84,NA,NA,0.52,
Namchi ,NA,Purano Namchi,7,11.02,11.02,NA,NA,2,
